commit	checks	status	description
d817060	pass	baseline	現状の検証パイプライン(tsc/1698テスト/build)がグリーン
5dbe37f	pass	keep	career/generate-profile の不正/空/nullボディで500を400に修正
3b019f4	pass	keep	LINE CSV取込の本文列誤マップ(メッセージ種別)を完全一致優先で修正+テスト
9c59ecd	pass	keep	CSVエクスポート ?columns= の重複キーを一意化+テスト
57ab0e4	pass	keep	週ラベルが跨年で終端の年を欠落する不具合を修正+テスト
2db74c8	pass	keep	面接キャンセル.icsのmethodをCANCEL/PUBLISH出し分け
-------	-	needs-approval	broadcasts-dispatch のロックが.select()無しで二重送信の恐れ(LINE push課金領域=要承認)
-------	-	needs-approval	lib/line等でdecryptFieldをPromise.all内でtry-catch無し(鍵ローテ時に一括500=暗号化境界=要承認)
-------	-	needs-approval	reports member-scopeがDBエラー時に[]返却でゼロ表示(エラー挙動変更=要判断)
f1fbe13	pass	keep	[要承認]LINE予約配信の二重送信をロック.select()で防止
b0857b7	pass	keep	[要承認]decryptFieldSafe新設+LINE会話一覧の復号を1件破損で全滅しないよう修正
1110aa3	pass	keep	[要承認]reports member-scopeのDBエラーをthrow(無言の誤ゼロ表示を解消)
